E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
77.8272,-0.174196,5.66898,2388.78,986.71,-0.135633,66421.8,941954,55389.7,-36658.4,-9093.04,2.80938e+06,-54916.6,45890.6,20526.3
36.3705,-0.0703239,4.38066,2412.94,901.542,-0.065393,67235.7,941978,-20130,-64151.5,-4406.18,2.80929e+06,28269.4,65036.4,5974.21
58.8989,0.921003,6.03883,2418.15,914.877,0.924145,25769.8,941984,24732.3,-7238.74,62336,2.80931e+06,-29330.7,4116.11,-65286.1
41.1913,0.22512,1.50801,2579.24,735.14,0.230874,67784.1,942145,4068.32,67661.9,16084.1,2.80913e+06,-4497.36,-62716.9,-13267.4
31.7599,-0.654708,4.63618,2506.94,797.112,-0.652989,52017.1,942072,-2783.89,-51942.5,-44848.3,2.80919e+06,7328.37,49809.4,44081.3
16.9968,0.782225,2.53291,2301.9,1011.77,0.759921,42777,941867,-35999.4,23106.7,50009.9,2.8094e+06,31155.5,-27629,-62848.2
65.1484,0.418521,1.68631,2544.83,792.522,0.408597,63159.3,942110,-8057.11,62643.3,28274.7,2.80918e+06,4546.78,-59461,-29929.3
39.3248,-0.829107,3.6933,2478.95,839.821,-0.842958,36742.1,942044,-32002.7,-18050.2,-57571.2,2.80923e+06,34035.3,25856,53766.8
44.7754,0.470566,1.25879,2540.75,818.282,0.484458,60488,942106,14294.2,58774.8,33497.3,2.80921e+06,-31085.1,-53263.4,-28169.2
42.855,-0.667556,5.9139,2450.08,863.986,-0.66292,50833.9,942015,47086.2,-19156.6,-45010.3,2.80926e+06,-48496.1,15989.4,47392.4
75.7847,0.800833,0.6243,2497.39,901.428,0.841305,37055.7,942063,29281.3,22709.6,57671.9,2.80929e+06,-45537.5,-27991.1,-46976.3
39.8474,0.882197,3.22413,2580.83,739.107,0.878273,33321.9,942146,-33307.6,-974.358,61204.9,2.80913e+06,28288.9,7650.87,-57386
40.7185,0.149009,3.25549,2521.13,808.946,0.109338,68462.9,942087,-67850.6,-9135.94,7530.72,2.8092e+06,64859.9,3320.57,-18069.3
41.7713,0.368664,5.07146,2514.99,803.662,0.370372,63899.6,942080,24215.2,-59133.6,25478.6,2.8092e+06,-16644.9,60389.6,-24303.8
65.0864,-0.151295,1.71478,2523.47,815.082,-0.134134,68285.2,942089,-10590.5,67459,-9242.91,2.80921e+06,7135.59,-65872.6,13736.4
62.5142,0.342693,3.81515,2467.53,888.528,0.381785,62977.4,942033,-50327.5,-37858.8,26014.3,2.80928e+06,50282.1,47003,-15933.6
56.6377,0.831127,5.71201,2738.16,627.585,0.852678,37502.3,942304,31314.5,-20635.5,61208.2,2.80902e+06,-34156.5,20423.3,-44063.9
