E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
62.9761,0.593834,3.42744,13141.2,4595.51,0.597468,126452,952707,-121624,-34609,94215.7,3.73197e+06,143263,46550.9,-107649
44.4656,-0.0254636,0.754717,14351.9,3289.09,-0.0249342,164798,953917,120159,112784,-4110.38,3.73067e+06,-113621,-107711,4329.44
26.7962,0.942403,5.2289,13807.8,3841.19,0.943091,53761.2,953373,23684.4,-48263,152470,3.73122e+06,-39679,44190.1,-158501
46.0288,-0.13242,1.74393,13910.5,3727.27,-0.132963,160834,953476,-28093.3,158362,-21576.6,3.73111e+06,26964,-163096,21732.9
57.6796,0.35175,3.86108,14253.6,3408.07,0.36307,153069,953819,-114581,-101495,59644.7,3.73079e+06,116296,97575,-48706.2
51.9993,-0.670796,1.84465,14162.1,3493.94,-0.669548,121626,953728,-35124.3,116444,-109636,3.73087e+06,23388.4,-116876,108866
80.1059,-0.353691,3.90912,14256.5,3427.7,-0.36593,152901,953822,-109695,-106516,-60120.7,3.73081e+06,110930,104397,48582.3
89.9182,0.308242,3.20331,13829,3891.04,0.290855,154801,953394,-154623,-7416.8,47059,3.73127e+06,157131,18073.7,-63286.5
35.7574,0.298967,4.16928,14472.9,3173.96,0.290786,158394,954038,-81142.3,-136031,48138.9,3.73055e+06,77744.5,122478,-51245.1
29.8118,-0.933551,4.23218,14412.5,3232.26,-0.937827,57341.1,953978,-25360.5,-51428,-154928,3.73061e+06,33455,53508.8,141858
45.949,0.901396,2.60199,14319.1,3407.85,0.91605,66038.5,953884,-56909.2,33502.6,150835,3.73079e+06,75120.9,-47257,-132439
98.9389,0.512831,1.49827,14334.2,3387.17,0.527797,139931,953900,8446.33,139676,86952.6,3.73077e+06,-16895.4,-140932,-71518.1
47.1619,0.668408,3.26449,13790.3,3853.34,0.669952,119948,953356,-119013,-14946.8,108242,3.73123e+06,126129,14613.8,-112333
35.6212,-0.671162,0.99755,14401.4,3237.88,-0.669818,122617,953967,67533.1,102343,-110610,3.73062e+06,-57983.5,-98693.3,105098
58.2007,0.103137,5.83196,14155.1,3521.14,0.0881091,163069,953720,147698,-69115.6,14424,3.7309e+06,-139929,77403,-26271.3
47.1558,0.725775,5.58536,13914.2,3784.32,0.716141,113276,953480,83981.6,-76016.5,116227,3.73116e+06,-93991.3,56939,-127079
38.6853,0.688831,0.40729,13913.9,3737.29,0.677359,119393,953479,109090,48519,109932,3.73112e+06,-106654,-40313.4,-121961
74.6091,0.285437,5.0988,14610.7,3079.33,0.279609,159705,954176,60068.6,-147978,46510.1,3.73046e+06,-54759,133248,-47028.3
28.3299,-0.353294,1.10927,13712.5,3931.33,-0.352957,150739,953278,69337.6,133845,-56864,3.73131e+06,-62499.5,-147464,60586.8
59.7195,0.0316467,1.60947,14438.1,3243.5,0.0279754,165282,954004,-9213.78,165025,4625.64,3.73062e+06,-5054.03,-155279,-7280.25
26.5124,0.871751,0.292502,13938.3,3682.7,0.868116,80628.2,953504,77322.8,22849.3,141015,3.73106e+06,-73338.6,-23790,-146706
27.0072,-0.628664,2.91614,13850.7,3787.06,-0.615966,127559,953416,-124378,28308.3,-99739.3,3.73117e+06,120669,-28531.2,113450
49.6024,0.851899,4.70266,14253.3,3411.31,0.843773,88167.7,953819,-2476.57,-88132.9,138613,3.73079e+06,-5605.24,75020.2,-140651
24.9334,0.851211,1.50972,13776.5,3864.83,0.847118,85814.2,953342,2707.92,85771.4,136797,3.73124e+06,-15070.5,-84092.9,-146723
38.4559,-0.900575,3.85051,14024.6,3606.33,-0.902993,70009.9,953590,-53537.4,-45112.3,-147137,3.73099e+06,54986.9,50306.2,146093
101.9,0.956055,6.01778,13781.4,3941.23,0.956609,47061.2,953347,44574.2,-15096.2,154507,3.73132e+06,-52763.2,2679.87,-163111
100.967,-0.949092,2.79717,13687.6,4067.31,-0.947912,51270.8,953253,-46637.6,21298.6,-152576,3.73145e+06,55585.9,-2061.31,165056
38.506,0.434872,2.4866,14557.1,3123.63,0.416327,150959,954123,-120292,91204.6,69123.5,3.7305e+06,101709,-82790.4,-78081
45.0132,-0.333411,1.69408,13979.3,3675.32,-0.346118,152623,953545,-20419.5,151251,-56305.9,3.73105e+06,13043.9,-158228,46965.9
56.0972,-0.814232,6.03425,13506.1,4168.54,-0.812823,93132.8,953071,90241.4,-23026.2,-129955,3.73155e+06,-98092.8,24597,144449
40.0811,0.0751544,0.428843,14058.6,3578.62,0.0649359,162798,953624,147846,68152.6,10593.8,3.73096e+06,-148402,-65684.4,-18787
